datetime,date,open,high,low,close,volume,datetime,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,EMA_9,WMA_9,SMA_9,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,VWAP_D,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,VWAP_CROSS,SUPERTREND_CROSS,MACD_CROSS,EMA_CROSS,RSI_CROSS
2022-12-19 10:30:00,2022-12-19 10:30:00+05:30,18522.45,18526.9,18516.4,18517.0,4050,2022-12-19 10:30:00,74.26881087120303,,,18507.439532942226,18514.68888888889,18507.966666666664,20.436625548668086,,,,18480.67885722833,18484.628503867705,1,18484.628503867705,,0,1,0,0,1
2022-12-19 10:35:00,2022-12-19 10:35:00+05:30,18517.0,18519.0,18507.9,18507.9,6250,2022-12-19 10:35:00,65.926017898733,,,18507.531626353782,18514.675555555557,18511.61111111111,19.47633081462735,,,,18481.52240651826,18484.628503867705,1,18484.628503867705,,0,1,0,0,1
2022-12-19 10:40:00,2022-12-19 10:40:00+05:30,18507.9,18524.8,18507.9,18522.25,3400,2022-12-19 10:40:00,71.38481282653234,,,18510.475301083028,18516.803333333333,18515.161111111112,19.21942197013491,,,,18482.06047311828,18484.628503867705,1,18484.628503867705,,0,1,0,0,1
2022-12-19 10:45:00,2022-12-19 10:45:00+05:30,18522.25,18532.0,18520.0,18521.65,11450,2022-12-19 10:45:00,70.87355246480256,,,18512.710240866425,18518.10111111111,18516.36666666667,18.519315472365896,,,,18484.05475507276,18493.042240193427,1,18493.042240193427,,0,1,0,0,1
2022-12-19 10:50:00,2022-12-19 10:50:00+05:30,18521.65,18526.5,18508.25,18509.9,4950,2022-12-19 10:50:00,61.57320159200069,,,18512.14819269314,18516.807777777776,18517.133333333335,18.493849076794543,,,,18484.66785857774,18493.042240193427,1,18493.042240193427,,0,1,0,1,1
2022-12-19 10:55:00,2022-12-19 10:55:00+05:30,18510.65,18514.35,18495.0,18498.25,7100,2022-12-19 10:55:00,54.006082802636755,,,18509.368554154513,18513.03111111111,18515.955555555556,18.572976167624752,,,,18485.16334635417,18493.042240193427,1,18493.042240193427,,0,1,0,0,1
2022-12-19 11:00:00,2022-12-19 11:00:00+05:30,18498.25,18511.2,18491.45,18497.15,4750,2022-12-19 11:00:00,53.33952259567201,,,18506.924843323613,18509.27,18512.9,18.6795221857661,,,,18485.432406519656,18493.042240193427,1,18493.042240193427,,0,1,0,0,1
2022-12-19 11:05:00,2022-12-19 11:05:00+05:30,18497.15,18510.5,18494.5,18510.5,2250,2022-12-19 11:05:00,59.820936789628455,,,18507.63987465889,18508.79,18511.816666666666,18.441512014715183,,,,18485.601235741444,18493.042240193427,1,18493.042240193427,,0,1,0,1,1
2022-12-19 11:10:00,2022-12-19 11:10:00+05:30,18510.5,18514.05,18505.0,18509.0,1850,2022-12-19 11:10:00,58.83208878261324,,,18507.91189972711,18508.226666666666,18510.4,17.621569865504995,,,,18485.767122899753,18493.042240193427,1,18493.042240193427,,0,1,0,0,1
2022-12-19 11:15:00,2022-12-19 11:15:00+05:30,18509.0,18517.0,18507.65,18513.95,2800,2022-12-19 11:15:00,61.11633119707024,,,18509.11951978169,18508.93666666667,18510.061111111114,16.910693598587965,,,,18486.05062270378,18493.042240193427,1,18493.042240193427,,0,1,0,0,1
2022-12-19 11:20:00,2022-12-19 11:20:00+05:30,18516.5,18524.25,18516.5,18522.7,2900,2022-12-19 11:20:00,64.83108368981762,,,18511.835615825352,18511.464444444446,18511.70555555556,16.350684286016282,11.20647937547983,,,18486.426849627303,18493.042240193427,1,18493.042240193427,,0,1,0,0,1
2022-12-19 11:25:00,2022-12-19 11:25:00+05:30,18522.7,18525.0,18512.55,18518.0,2200,2022-12-19 11:25:00,61.4359290056819,,,18513.068492660284,18512.723333333335,18511.233333333337,16.024579023973562,11.040569114338723,,,18486.68568591506,18493.042240193427,1,18493.042240193427,,0,1,0,0,1
2022-12-19 11:30:00,2022-12-19 11:30:00+05:30,18518.0,18528.0,18517.9,18528.0,5450,2022-12-19 11:30:00,65.56763969816511,,,18516.054794128228,18516.076666666664,18511.93888888889,15.535229080562978,11.582484788777947,,,18487.429088785047,18495.884993982407,1,18495.884993982407,,0,1,0,0,1
2022-12-19 11:35:00,2022-12-19 11:35:00+05:30,18528.0,18546.95,18523.55,18546.1,11850,2022-12-19 11:35:00,71.51615861823592,,,18522.063835302582,18522.90888888889,18515.96111111111,16.17765758721453,13.318943111618864,,,18489.530572315118,18505.327561648555,1,18505.327561648555,,0,1,0,0,1
2022-12-19 11:40:00,2022-12-19 11:40:00+05:30,18545.25,18550.0,18538.1,18545.8,42800,2022-12-19 11:40:00,71.29630357599191,77.68882790007746,,18526.811068242067,18528.876666666667,18521.244444444445,15.831787174929364,14.50370170516544,,,18496.6160407591,18515.012320063972,1,18515.012320063972,,0,1,0,0,1
2022-12-19 11:45:00,2022-12-19 11:45:00+05:30,18545.8,18548.7,18542.3,18544.85,11650,2022-12-19 11:45:00,70.55660132849049,93.45307622109829,,18530.418854593656,18533.597777777777,18526.544444444444,15.076300734187274,15.190863546773471,,,18498.2618287373,18518.804966137734,1,18518.804966137734,,0,1,0,0,1
